RIC,CRIC,Date
SCFF0,2000F,2000-01-14
SCFF0,2010F,2010-01-15
SCFF1,2001F,2001-01-15
SCFF1,2011F,2011-01-17
SCFF2,2002F,2002-01-15
SCFF2,2012F,2012-01-13
SCFF3,2003F,2003-01-15
SCFF3,2013F,2013-01-15
SCFF4,2004F,2004-01-15
SCFF4,2014F,2014-01-15
SCFF5,2005F,2005-01-17
SCFF5,2015F,2015-01-15
SCFF6,2006F,2006-01-16
SCFF6,2016F,2016-01-15
SCFF7,2007F,2007-01-15
SCFF7,2017F,2017-01-16
SCFF8,2008F,2008-01-15
SCFF8,2018F,2018-01-15
SCFF9,2009F,2009-01-15
SCFF9,2018F,2018-10-11
SCFG0,2000G,2000-02-15
SCFG0,2010G,2010-02-09
SCFG1,2001G,2001-02-15
SCFG1,2011G,2011-02-15
SCFG2,2002G,2002-02-08
SCFG2,2012G,2012-02-15
SCFG3,2003G,2003-02-17
SCFG3,2013G,2013-02-18
SCFG4,2004G,2004-02-16
SCFG4,2014G,2014-02-17
SCFG5,2005G,2005-02-07
SCFG5,2015G,2015-02-10
SCFG6,2006G,2006-02-15
SCFG6,2016G,2016-02-15
SCFG7,2007G,2007-02-12
SCFG7,2017G,2017-02-15
SCFG8,2008G,2008-02-15
SCFG8,2018G,2018-02-09
SCFG9,2009G,2009-02-16
SCFG9,2018G,2018-10-11
SCFH0,2000H,2000-03-15
SCFH0,2010H,2010-03-15
SCFH1,2001H,2001-03-15
SCFH1,2011H,2011-03-15
SCFH2,2002H,2002-03-15
SCFH2,2012H,2012-03-15
SCFH3,2003H,2003-03-17
SCFH3,2013H,2013-03-15
SCFH4,2004H,2004-03-15
SCFH4,2014H,2014-03-17
SCFH5,2005H,2005-03-15
SCFH5,2015H,2015-03-16
SCFH6,2006H,2006-03-15
SCFH6,2016H,2016-03-15
SCFH7,2007H,2007-03-15
SCFH7,2017H,2017-03-15
SCFH8,2008H,2008-03-17
SCFH8,2018H,2018-03-15
SCFH9,2009H,2009-03-16
SCFH9,2018H,2018-10-11
SCFJ0,2000J,2000-04-14
SCFJ0,2010J,2010-04-15
SCFJ1,2001J,2001-04-16
SCFJ1,2011J,2011-04-15
SCFJ2,2002J,2002-04-15
SCFJ2,2012J,2012-04-16
SCFJ3,2003J,2003-04-15
SCFJ3,2013J,2013-04-15
SCFJ4,2004J,2004-04-15
SCFJ4,2014J,2014-04-15
SCFJ5,2005J,2005-04-15
SCFJ5,2015J,2015-04-15
SCFJ6,2006J,2006-04-17
SCFJ6,2016J,2016-04-15
SCFJ7,2007J,2007-04-16
SCFJ7,2017J,2017-04-17
SCFJ8,2008J,2008-04-15
SCFJ8,2018J,2018-04-16
SCFJ9,2009J,2009-04-15
SCFJ9,2018J,2018-10-11
SCFK0,2000K,2000-05-15
SCFK0,2010K,2010-05-17
SCFK1,2001K,2001-05-15
SCFK1,2011K,2011-05-16
