,CLOSEPRICE,CLOSEPRICE_ADJUSTED,CLOSEPRICE_G_ADJUSTED,DATES_GMT,DATES_LOC,LST_PX_RAW,MIDPRICE,MIDPRICE_ADJUSTED,MIDPRICE_G_ADJUSTED,MID_PX_RAW,MONTH,VOLUME,VOLUME_ADJUSTED,VOLUME_G_ADJUSTED,VWAP,VWAP_ADJUSTED,VWAP_G_ADJUSTED,YEAR
2008-01-04,60970.0,71860.0,83759.04566582156,1199404800.0,1199404800.0,60970.0,60970.0,71860.0,83759.04566582156,60970.0,0.0,330.0,330.0,240.21405497233525,1.0,53351.0,5.295488323973687,1200355200.0
2008-01-07,60790.0,71680.0,83511.76621330646,1199664000.0,1199664000.0,60790.0,60790.0,71680.0,83511.76621330646,60790.0,0.0,3370.0,3370.0,2453.0950462326355,2.0,53352.0,10.590976647947373,1200355200.0
2008-01-08,60970.0,71860.0,83759.04566582156,1199750400.0,1199750400.0,60970.0,60970.0,71860.0,83759.04566582156,60970.0,0.0,1110.0,1110.0,807.992730361491,3.0,53353.0,15.886464971921066,1200355200.0
2008-01-09,62740.0,73630.0,86190.6269488872,1199836800.0,1199836800.0,62740.0,62740.0,73630.0,86190.6269488872,62740.0,0.0,3080.0,3080.0,2241.997846408464,4.0,53354.0,21.181953295894747,1200355200.0
2008-01-10,62320.0,73210.0,85613.64155968514,1199923200.0,1199923200.0,62320.0,62320.0,73210.0,85613.64155968514,62320.0,0.0,2470.0,2470.0,1797.9658053989942,5.0,53355.0,26.477441619868447,1200355200.0
2008-01-11,62630.0,73520.0,86039.51172790566,1200009600.0,1200009600.0,62630.0,62630.0,73520.0,86039.51172790566,62630.0,0.0,2010.0,2010.0,1463.1219711951312,6.0,53356.0,31.772929943842133,1200355200.0
2008-01-14,63440.0,74330.0,87152.26926422368,1200268800.0,1200268800.0,63440.0,63440.0,74330.0,87152.26926422368,63440.0,0.0,2290.0,2290.0,1666.939957232265,6.0,53357.0,37.068418267815844,1200355200.0
2008-01-15,62630.0,73520.0,86039.51172790566,1200355200.0,1200355200.0,62630.0,62630.0,73520.0,86039.51172790566,62630.0,1.0,5648.0,5648.0,4190.729500421548,7.0,52147.0,36.36583703185006,1200355200.0
2008-01-16,60370.0,70050.0,81362.86533542706,1200441600.0,1200441600.0,60370.0,60370.0,70050.0,81362.86533542706,60370.0,1.0,7854.0,7854.0,5827.547715352484,8.0,52148.0,41.560956607828565,1203033600.0
2008-01-17,60810.0,70490.0,81955.86948894021,1200528000.0,1200528000.0,60810.0,60810.0,70490.0,81955.86948894021,60810.0,1.0,6544.0,6544.0,4855.547778108825,9.0,50949.0,44.86559932285735,1203033600.0
2008-01-18,61000.0,70680.0,82211.93946432082,1200614400.0,1200614400.0,61000.0,61000.0,70680.0,82211.93946432082,61000.0,1.0,4008.0,4008.0,2973.874617154669,10.0,50950.0,49.85066591428586,1203033600.0
2008-01-21,62160.0,71840.0,83775.31405085545,1200873600.0,1200873600.0,62160.0,62160.0,71840.0,83775.31405085545,62160.0,1.0,3932.0,3932.0,2917.4837811008374,11.0,50951.0,54.835732505714546,1203033600.0
2008-01-22,59940.0,69620.0,80783.33854903918,1200960000.0,1200960000.0,59940.0,59940.0,69620.0,80783.33854903918,59940.0,1.0,4306.0,4306.0,3194.986053260481,0.0,50940.0,0.0,1203033600.0
2008-01-23,60660.0,70340.0,81753.70898206077,1201046400.0,1201046400.0,60660.0,60660.0,70340.0,81753.70898206077,60660.0,1.0,3338.0,3338.0,2476.7448782590504,1.0,50941.0,4.9850665914286045,1203033600.0
2008-01-24,61110.0,70790.0,82360.19050269914,1201132800.0,1201132800.0,61110.0,61110.0,70790.0,82360.19050269914,61110.0,1.0,1616.0,1616.0,1199.0472508288271,2.0,50942.0,9.970133182857209,1203033600.0
2008-01-25,61560.0,71240.0,82966.67202333758,1201219200.0,1201219200.0,61560.0,61560.0,71240.0,82966.67202333758,61560.0,1.0,3088.0,3088.0,2291.2487070293455,3.0,50943.0,14.95519977428577,1203033600.0
2008-01-28,60700.0,70380.0,81807.61845056196,1201478400.0,1201478400.0,60700.0,60700.0,70380.0,81807.61845056196,60700.0,1.0,3420.0,3420.0,2537.5876224223975,4.0,50944.0,19.940266365714418,1203033600.0
2008-01-29,61240.0,70920.0,82535.39627532799,1201564800.0,1201564800.0,61240.0,61240.0,70920.0,82535.39627532799,61240.0,1.0,1688.0,1688.0,1252.4701481429831,5.0,50945.0,24.92533295714293,1203033600.0
2008-01-30,61960.0,71640.0,83505.76670834949,1201651200.0,1201651200.0,61960.0,61960.0,71640.0,83505.76670834949,61960.0,1.0,3332.0,3332.0,2472.292970149542,0.0,50940.0,5.678090570697683e-306,1203033600.0
2008-01-31,61990.0,71670.0,83546.1988097254,1201737600.0,1201737600.0,61990.0,61990.0,71670.0,83546.1988097254,61990.0,1.0,2718.0,2718.0,2016.714373609377,0.0,50940.0,0.0,1203033600.0
2008-02-01,62760.0,72440.0,84583.95607837332,1201824000.0,1201824000.0,62760.0,62760.0,72440.0,84583.95607837332,62760.0,1.0,1822.0,1822.0,1351.8960959221083,0.0,50940.0,0.0,1203033600.0
2008-02-04,62760.0,72440.0,84583.95607837332,1202083200.0,1202083200.0,62760.0,62760.0,72440.0,84583.95607837332,62760.0,1.0,1870.0,1870.0,1387.5113607982114,0.0,50940.0,0.0,1203033600.0
2008-02-05,63050.0,72730.0,84974.79972500697,1202169600.0,1202169600.0,63050.0,63050.0,72730.0,84974.79972500697,63050.0,1.0,1010.0,1010.0,749.4045317680177,0.0,50940.0,0.0,1203033600.0
2008-02-13,64870.0,74550.0,87427.68054181135,1202860800.0,1202860800.0,64870.0,64870.0,74550.0,87427.68054181135,64870.0,1.0,1560.0,1560.0,1157.4961084733743,0.0,50940.0,0.0,1203033600.0
2008-02-14,64240.0,73920.0,86578.6064129176,1202947200.0,1202947200.0,64240.0,64240.0,73920.0,86578.6064129176,64240.0,1.0,2160.0,2160.0,1602.6869194246713,0.0,50940.0,0.0,1203033600.0
2008-02-15,63890.0,73570.0,86106.89856353214,1203033600.0,1203033600.0,63890.0,63890.0,73570.0,86106.89856353214,63890.0,2.0,3320.0,3320.0,2454.5211072032644,0.0,51190.0,0.0,1203033600.0
2008-02-18,64790.0,74700.0,87635.34335424514,1203292800.0,1203292800.0,64790.0,64790.0,74700.0,87635.34335424514,64790.0,2.0,4646.0,4646.0,3434.850922911555,0.0,50540.0,0.0,1205712000.0
2008-02-19,66060.0,75970.0,89353.15298628551,1203379200.0,1203379200.0,66060.0,66060.0,75970.0,89353.15298628551,66060.0,2.0,3722.0,3722.0,2751.725168979082,0.0,50540.0,0.0,1205712000.0
2008-02-20,66080.0,75990.0,89380.20510647513,1203465600.0,1203465600.0,66080.0,66080.0,75990.0,89380.20510647513,66080.0,2.0,3402.0,3402.0,2515.1448212968407,0.0,50540.0,0.0,1205712000.0
2008-02-21,66440.0,76350.0,89867.1432698881,1203552000.0,1203552000.0,66440.0,66440.0,76350.0,89867.1432698881,66440.0,2.0,3402.0,3402.0,2515.1448212968407,0.0,50540.0,0.0,1205712000.0
2008-02-22,67590.0,77500.0,91422.64018079065,1203638400.0,1203638400.0,67590.0,67590.0,77500.0,91422.64018079065,67590.0,2.0,3622.0,3622.0,2677.7938103283827,0.0,50540.0,0.0,1205712000.0
2008-02-25,68460.0,78370.0,92599.40740903879,1203897600.0,1203897600.0,68460.0,68460.0,78370.0,92599.40740903879,68460.0,2.0,3910.0,3910.0,2890.716123242396,0.0,50540.0,0.0,1205712000.0
2008-02-26,66780.0,76690.0,90327.02931311146,1203984000.0,1203984000.0,66780.0,66780.0,76690.0,90327.02931311146,66780.0,2.0,3502.0,3502.0,2589.076179947539,0.0,50540.0,0.0,1205712000.0
2008-02-27,67980.0,77890.0,91950.15652448815,1204070400.0,1204070400.0,67980.0,67980.0,77890.0,91950.15652448815,67980.0,2.0,3062.0,3062.0,2263.778201884457,0.0,50540.0,0.0,1205712000.0
2008-02-28,68210.0,78120.0,92261.25590666867,1204156800.0,1204156800.0,68210.0,68210.0,78120.0,92261.25590666867,68210.0,2.0,2756.0,2756.0,2037.5482444133106,0.0,50540.0,0.0,1205712000.0
2008-02-29,67900.0,77810.0,91841.94804372962,1204243200.0,1204243200.0,67900.0,67900.0,77810.0,91841.94804372962,67900.0,2.0,3054.0,3054.0,2257.8636931923993,0.0,50540.0,0.0,1205712000.0
2008-03-03,68320.0,78230.0,92410.04256771156,1204502400.0,1204502400.0,68320.0,68320.0,78230.0,92410.04256771156,68320.0,2.0,1420.0,1420.0,1049.8252928399509,0.0,50540.0,0.0,1205712000.0
2008-03-04,69130.0,79040.0,93505.65343539072,1204588800.0,1204588800.0,69130.0,69130.0,79040.0,93505.65343539072,69130.0,2.0,2290.0,2290.0,1693.0281131010465,0.0,50540.0,0.0,1205712000.0
2008-03-05,67740.0,77650.0,91625.53108221291,1204675200.0,1204675200.0,67740.0,67740.0,77650.0,91625.53108221291,67740.0,2.0,1670.0,1670.0,1234.6536894667006,0.0,50540.0,0.0,1205712000.0
2008-03-06,68840.0,78750.0,93113.39769264136,1204761600.0,1204761600.0,68840.0,68840.0,78750.0,93113.39769264136,68840.0,2.0,1630.0,1630.0,1205.081146006422,0.0,50540.0,0.0,1205712000.0
2008-03-07,67980.0,77890.0,91950.15652448815,1204848000.0,1204848000.0,67980.0,67980.0,77890.0,91950.15652448815,67980.0,2.0,1760.0,1760.0,1301.1919122523327,0.0,50540.0,0.0,1205712000.0
2008-03-10,67570.0,77480.0,91395.58806060109,1205107200.0,1205107200.0,67570.0,67570.0,77480.0,91395.58806060109,67570.0,2.0,1010.0,1010.0,746.7067223720774,0.0,50540.0,0.0,1205712000.0
2008-03-11,67010.0,76920.0,90638.12869529189,1205193600.0,1205193600.0,67010.0,67010.0,76920.0,90638.12869529189,67010.0,2.0,2150.0,2150.0,1589.524210990063,0.0,50540.0,0.0,1205712000.0
2008-03-12,66690.0,76600.0,90205.29477225823,1205280000.0,1205280000.0,66690.0,66690.0,76600.0,90205.29477225823,66690.0,2.0,3130.0,3130.0,2314.0515257669326,0.0,50540.0,0.0,1205712000.0
2008-03-13,66340.0,76250.0,89731.88266893997,1205366400.0,1205366400.0,66340.0,66340.0,76250.0,89731.88266893997,66340.0,2.0,1750.0,1750.0,1293.7987763872627,0.0,50540.0,0.0,1205712000.0
2008-03-14,66150.0,76060.0,89474.88752713877,1205452800.0,1205452800.0,66150.0,66150.0,76060.0,89474.88752713877,66150.0,2.0,2350.0,2350.0,1737.3869282914677,0.0,50520.0,0.0,1205712000.0
2008-03-17,67340.0,77250.0,91084.4886784206,1205712000.0,1205712000.0,67340.0,67340.0,77250.0,91084.4886784206,67340.0,3.0,2742.0,2742.0,2011.242777535639,0.0,50330.0,0.0,1205712000.0
2008-03-18,65460.0,75900.0,89243.98486587961,1205798400.0,1205798400.0,65460.0,65460.0,75900.0,89243.98486587961,65460.0,3.0,3136.0,3136.0,2300.239733899257,0.0,50330.0,0.0,1208217600.0
2008-03-19,65650.0,76090.0,89503.01873579269,1205884800.0,1205884800.0,65650.0,65650.0,76090.0,89503.01873579269,65650.0,3.0,1244.0,1244.0,912.467547503405,0.0,50330.0,0.0,1208217600.0
2008-03-20,63790.0,74230.0,86967.21348295832,1205971200.0,1205971200.0,63790.0,63790.0,74230.0,86967.21348295832,63790.0,3.0,2888.0,2888.0,2118.3330202490615,0.0,50330.0,0.0,1208217600.0
