RIC,CRIC,Exp
CMCUF18,2018U,2018-01-15
CMCUF19,2018U,2018-11-02
CMCUF2,2012U,2012-01-16
CMCUF3,2013U,2013-01-14
CMCUF4,2014U,2014-01-15
CMCUF5,2015U,2015-01-19
CMCUF6,2016U,2016-01-18
CMCUF7,2017U,2017-01-16
CMCUG18,2018U,2018-02-19
CMCUG19,2018U,2018-11-02
CMCUG2,2012U,2012-02-13
CMCUG3,2013U,2013-02-18
CMCUG4,2014U,2014-02-19
CMCUG5,2015U,2015-02-16
CMCUG6,2016U,2016-02-15
CMCUG7,2017U,2017-02-13
CMCUH18,2018U,2018-03-19
CMCUH19,2018U,2018-11-02
CMCUH2,2012U,2012-03-19
CMCUH3,2013U,2013-03-18
CMCUH4,2014U,2014-03-17
CMCUH5,2015U,2015-03-16
CMCUH6,2016U,2016-03-14
CMCUH7,2017U,2017-03-13
CMCUJ18,2018U,2018-04-16
CMCUJ19,2018U,2018-11-02
CMCUJ2,2012U,2012-04-16
CMCUJ3,2013U,2013-04-15
CMCUJ4,2014U,2014-04-14
CMCUJ5,2015U,2015-04-13
CMCUJ6,2016U,2016-04-18
CMCUJ7,2017U,2017-04-13
CMCUK18,2018U,2018-05-14
CMCUK19,2018U,2018-11-02
CMCUK2,2012U,2012-05-14
CMCUK3,2013U,2013-05-13
CMCUK4,2014U,2014-05-19
CMCUK5,2015U,2015-05-18
CMCUK6,2016U,2016-05-16
CMCUK7,2017U,2017-05-15
CMCUM18,2018U,2018-06-18
CMCUM19,2018U,2018-11-02
CMCUM2,2012U,2012-06-18
CMCUM3,2013U,2013-06-17
CMCUM4,2014U,2014-06-16
CMCUM5,2015U,2015-06-15
CMCUM6,2016U,2016-06-13
CMCUM7,2017U,2017-06-19
CMCUN18,2018U,2018-07-16
CMCUN19,2018U,2018-11-02
CMCUN2,2012U,2012-07-16
CMCUN3,2013U,2013-07-15
CMCUN4,2014U,2014-07-14
CMCUN5,2015U,2015-07-13
CMCUN6,2016U,2016-07-18
CMCUN7,2017U,2017-07-17
CMCUQ18,2018U,2018-08-13
CMCUQ19,2018U,2018-11-02
CMCUQ2,2012U,2012-08-13
CMCUQ3,2013U,2013-08-21
CMCUQ4,2014U,2014-08-18
CMCUQ5,2015U,2015-08-17
CMCUQ6,2016U,2016-08-15
CMCUQ7,2017U,2017-08-14
CMCUU18,2018U,2018-09-17
CMCUU19,2018U,2018-11-02
CMCUU2,2012U,2012-09-17
CMCUU3,2013U,2013-09-18
CMCUU4,2014U,2014-09-15
CMCUU5,2015U,2015-09-14
CMCUU6,2016U,2016-09-19
CMCUU7,2017U,2017-09-18
CMCUV1,2011U,2011-10-17
CMCUV18,2018U,2018-10-15
CMCUV19,2018U,2018-11-02
CMCUV2,2012U,2012-10-15
CMCUV3,2013U,2013-10-16
CMCUV4,2014U,2014-10-13
CMCUV5,2015U,2015-10-19
CMCUV6,2016U,2016-10-17
CMCUV7,2017U,2017-10-16
CMCUX1,2011U,2011-11-14
CMCUX18,2018U,2018-11-02
CMCUX19,2018U,2018-11-02
CMCUX2,2012U,2012-11-19
CMCUX3,2013U,2013-11-20
CMCUX4,2014U,2014-11-17
CMCUX5,2015U,2015-11-16
CMCUX6,2016U,2016-11-14
CMCUX7,2017U,2017-11-13
CMCUZ1,2011U,2011-12-19
CMCUZ18,2018U,2018-11-02
CMCUZ19,2018U,2018-11-02
CMCUZ2,2012U,2012-12-17
CMCUZ3,2013U,2013-12-18
CMCUZ4,2014U,2014-12-15
CMCUZ5,2015U,2015-12-14
CMCUZ6,2016U,2016-12-19
CMCUZ7,2017U,2017-12-18
CMCUF9,2019F,2019-01-16
CMCUG9,2019G,2019-02-13
CMCUH9,2019H,2019-03-13
CMCUJ9,2019J,2019-04-13
CMCUK9,2019K,2019-05-15
CMCUM9,2019M,2019-06-19
CMCUN9,2019N,2019-07-17
CMCUQ9,2019Q,2019-08-14
CMCUU9,2019U,2019-09-18
CMCUV9,2019V,2019-10-16
CMCUX9,2019X,2019-11-13
CMCUZ9,2019Z,2019-12-18
