RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCUF2,17-10-2011,7575.3,7575.3,7493.3,7493.3,96,,,7495,
CMCUF2,18-10-2011,,,,,,,,7495,
CMCUF2,19-10-2011,7408.3,7408.3,7210.8,7211.1,197,,,7211,
CMCUF2,20-10-2011,6966,6990,6736.4,6736.5,394,,,6736.5,
CMCUF2,21-10-2011,7108,7149.3,7108,7149,13,,,7149,
CMCUF2,24-10-2011,7250,7639.9,7250,7639.9,89,,,7640,
CMCUF2,25-10-2011,7705,7705,7465,7534.9,133,,,7535,
CMCUF2,26-10-2011,7755,7854,7685.7,7685.8,234,,,7685.5,
CMCUF2,27-10-2011,7937,8171,7930,8155,575,,,8152,
CMCUF2,28-10-2011,8100,8180.3,8092,8180,1075,,,8180,
CMCUF2,31-10-2011,7994,7994.3,7994,7994,108,,,7994,
CMCUF2,01-11-2011,7786,7786,7718,7731.9,358,,,7732,
CMCUF2,02-11-2011,7908,7928,7887,7887,463,,,7887,
CMCUF2,03-11-2011,7755,7935,7755,7918.3,287,,,7918.3,
CMCUF2,04-11-2011,8009.5,8009.5,7871.8,7872,93,,,7872,
CMCUF2,07-11-2011,7721,7855,7721,7806,59,,,7825.5,
CMCUF2,08-11-2011,7853,7900,7775,7800.5,499,,,7800.3,
CMCUF2,09-11-2011,7717.5,7717.5,7619.8,7619.8,39,,,7624.3,
CMCUF2,10-11-2011,7489,7516,7411.8,7411.8,227,,,7475,
CMCUF2,11-11-2011,7527,7637.7,7519,7637.7,120,,,7637.5,
CMCUF2,14-11-2011,7750.4,7757,7750.4,7756.8,60,,,7756.8,
CMCUF2,15-11-2011,7750.4,7757,7680.9,7681.2,177,,,7681,
CMCUF2,16-11-2011,7685,7728,7626,7728,208,,,7728,
CMCUF2,17-11-2011,7638,7638,7531.8,7531.8,162,,,7536.5,
CMCUF2,18-11-2011,7512.6,7533.7,7512.6,7533.7,335,,,7520,
CMCUF2,21-11-2011,7316.6,7361.1,7261.3,7261.3,168,,,7303.8,
CMCUF2,22-11-2011,7418,7418,7323.3,7371.5,198,,,7323.5,
CMCUF2,23-11-2011,7280,7298,7179.9,7233.4,1057,,,7233.3,
CMCUF2,24-11-2011,,,,,,,,7259,
CMCUF2,25-11-2011,7166,7297.1,7166,7224.8,651,,,7224.5,
CMCUF2,28-11-2011,7433.1,7495.7,7433.1,7489.5,111,,,7489.5,
CMCUF2,29-11-2011,7419.5,7483.5,7419.5,7483.1,179,,,7483.3,
CMCUF2,30-11-2011,7311.4,7890.9,7311.4,7890.9,294,,,7878.8,
CMCUF2,01-12-2011,7803,7831.5,7758.3,7781.5,492,,,7781.5,
CMCUF2,02-12-2011,7908.1,7924.9,7869.3,7880.8,139,,,7880.8,
CMCUF2,05-12-2011,7881,7947,7859.6,7931,89,,,7931,
CMCUF2,06-12-2011,7806,7840,7780,7825,273,,,7825,
CMCUF2,07-12-2011,7935,7935,7761,7810,324,,,7809,
CMCUF2,08-12-2011,7830,7840,7699.8,7699.8,348,,,7699.8,
CMCUF2,09-12-2011,7720,7825,7720,7805.5,190,,,7805.3,
CMCUF2,12-12-2011,7625,7630,7595,7599,349,,,7595.3,
CMCUF2,13-12-2011,7600,7646,7589.8,7589.8,104,,,7589.8,
CMCUF2,14-12-2011,7487,7490,7200.5,7200.5,711,,,7200.5,
CMCUF2,15-12-2011,7487,7490,7187,7187,993,,,7203.8,
CMCUF2,16-12-2011,7317,7353.8,7301,7339.8,180,,,7339.8,
CMCUF2,19-12-2011,7300,7300,7254.1,7300,260,,,7254.3,
