RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCU3,28-04-2005,3180,3197,3168,3175,7558,,,3181,08-02-2019
CMCU3,29-04-2005,3170,3238,3170,3216,4047,,,3215,08-02-2019
CMCU3,30-04-2005,,,,,,,,,08-02-2019
CMCU3,01-05-2005,,,,,,,,,08-02-2019
CMCU3,02-05-2005,,,,,,,,,08-02-2019
CMCU3,03-05-2005,3185,3200,3162,3186,4909,,,3188,08-02-2019
CMCU3,04-05-2005,3190,3197,3127,3158,8731,,,3145,08-02-2019
CMCU3,05-05-2005,3164,3183,3143,3166,4426,,,3175,08-02-2019
CMCU3,06-05-2005,3175.15,3205.15,3160,3182,6528,,,3174,08-02-2019
CMCU3,07-05-2005,,,,,,,,,08-02-2019
CMCU3,08-05-2005,,,,,,,,,08-02-2019
CMCU3,09-05-2005,3175,3320.5,3168,3200,5854,,,3213,08-02-2019
CMCU3,10-05-2005,3203,3225.25,3193,3222,3837,,,3224,08-02-2019
CMCU3,11-05-2005,3217,3221,3170.85,3182,5994,,,3181,08-02-2019
CMCU3,12-05-2005,3173,3180,3050,3060,16149,,,3096,08-02-2019
CMCU3,13-05-2005,3047,3073,2990,3005,12239,,,3002,08-02-2019
CMCU3,14-05-2005,,,,,,,,,08-02-2019
CMCU3,15-05-2005,,,,,,,,,08-02-2019
CMCU3,16-05-2005,3027,3042.7,2969.85,3000,10132,,,2990,08-02-2019
CMCU3,17-05-2005,2995,3018,2960,2997,7456,,,3006,08-02-2019
CMCU3,18-05-2005,2993,3052.25,2993,3046,9590,,,3050,08-02-2019
CMCU3,19-05-2005,3050,3060,3010,3010,6035,,,3026,08-02-2019
CMCU3,20-05-2005,3015,3052,2993.75,3027,6213,,,3002,08-02-2019
CMCU3,21-05-2005,,,,,,,,,08-02-2019
CMCU3,22-05-2005,,,,,,,,,08-02-2019
CMCU3,23-05-2005,3008,3046,2990,3038,5230,,,3035,08-02-2019
CMCU3,24-05-2005,3035,3080,3030,3059,4865,,,3050,08-02-2019
CMCU3,25-05-2005,3049,3078.25,3047,3072,3808,,,3069,08-02-2019
