RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCUF1-3,20-10-2010,1,1.25,.5,.5,314,,,.5,
CMCUF1-3,21-10-2010,.55,1.5,.55,1.5,154,,,1.5,
CMCUF1-3,22-10-2010,1.5,1.5,.75,.75,107,,,2,
CMCUF1-3,25-10-2010,3.4,4.5,1,3,282,,,3,
CMCUF1-3,26-10-2010,3,4.5,3,3,61,,,3,
CMCUF1-3,27-10-2010,3,3.5,1.75,1.75,41,,,2,
CMCUF1-3,28-10-2010,2.15,3.75,2,2,290,,,2.5,
CMCUF1-3,29-10-2010,2.25,2.5,2,2,386,,,2,
CMCUF1-3,01-11-2010,1.25,2,1,1,95,,,2,
CMCUF1-3,02-11-2010,2,2.25,2,2.25,225,,,2,
CMCUF1-3,03-11-2010,1.75,2.25,1.75,1.75,193,,,2,
CMCUF1-3,04-11-2010,2.25,4.75,2.25,4.75,174,,,4.5,
CMCUF1-3,05-11-2010,3.75,4.25,3.75,4.25,94,,,4,
CMCUF1-3,08-11-2010,2.83,3.85,2.83,3.85,55,,,3.5,
CMCUF1-3,09-11-2010,3.75,5.5,3.75,4.25,393,,,4.5,
CMCUF1-3,10-11-2010,4.25,4.25, -4.5,4.25,556,,,4,
CMCUF1-3,11-11-2010,6,6,5,5,195,,,4,
CMCUF1-3,12-11-2010,4,5.15,4,5,530,,,5.5,
CMCUF1-3,15-11-2010,7.5,7.85,6,7.5,82,,,8,
CMCUF1-3,16-11-2010,8,9.15,5,6,1027,,,5.5,
CMCUF1-3,17-11-2010,8,15,8,15,536,,,13,
CMCUF1-3,18-11-2010,9,9,9,9,50,,,10,
CMCUF1-3,19-11-2010,9.85,9.85,9.85,9.85,100,,,11,
CMCUF1-3,22-11-2010,12.15,12.15,11.5,11.5,12,,,10.5,
CMCUF1-3,23-11-2010,13,15,10.1,11,324,,,10,
CMCUF1-3,24-11-2010,10.1,13.25,9.75,13,724,,,13,
CMCUF1-3,25-11-2010,15,16.15,15,16.15,21,,,16,
CMCUF1-3,26-11-2010,17,17,15,15.35,90,,,15,
CMCUF1-3,29-11-2010,14.1,16.5,10,11.75,271,,,12,
CMCUF1-3,30-11-2010,12,17,12,12.25,314,,,12,
CMCUF1-3,01-12-2010,14,17.25,12.5,16,457,,,15,
CMCUF1-3,02-12-2010,17,31.15,16,31.15,454,,,29,
CMCUF1-3,03-12-2010,29.2,30,21.85,24.85,422,,,21,
CMCUF1-3,06-12-2010,23.5,24.5,22.75,22.75,463,,,23,
CMCUF1-3,07-12-2010,25,28,15.75,15.75,261,,,16,
CMCUF1-3,08-12-2010,16.5,20.25,15,20.25,37,,,20,
CMCUF1-3,09-12-2010,22,22.5,21,22.5,255,,,22.5,
CMCUF1-3,10-12-2010,23,25,23,25,111,,,25,
CMCUF1-3,13-12-2010,29,34,27.35,33,223,,,31,
CMCUF1-3,14-12-2010,34,35,30,31,204,,,31.5,
CMCUF1-3,15-12-2010,33,33,29.85,30.85,170,,,31,
CMCUF1-3,16-12-2010,33,33,28,29.85,1239,,,30.5,
CMCUF1-3,17-12-2010,30.25,30.25,26.85,30.25,45,,,34,
CMCUF1-3,20-12-2010,34.75,35.65,32,35,289,,,34,
CMCUF1-3,21-12-2010,33,37,33,33.75,484,,,36,
CMCUF1-3,22-12-2010,38,44,38,42.85,613,,,43,
CMCUF1-3,23-12-2010,43.75,44,40.85,43,965,,,41,
CMCUF1-3,24-12-2010,42.75,42.75,42.75,42.75,16,,,42,
CMCUF1-3,29-12-2010,44.25,45,42,45,206,,,42,
CMCUF1-3,30-12-2010,43,43,42.5,42.5,14,,,40.5,
CMCUF1-3,31-12-2010,42.15,42.15,42.15,42.15,100,,,44,
CMCUF1-3,04-01-2011,47.25,47.25,39.05,39.05,149,,,39.25,
CMCUF1-3,05-01-2011,38.56,39.56,34.3,34.3,514,,,36,
CMCUF1-3,06-01-2011,29.5,29.5,17.5,17.5,201,,,17.5,
CMCUF1-3,07-01-2011,18.5,23.25,18,23.25,201,,,21,
CMCUF1-3,10-01-2011,20,20,17.75,17.75,210,,,12,
CMCUF1-3,11-01-2011,12,14.65,11,14.65,150,,,14.5,
CMCUF1-3,12-01-2011,15.5,15.5,15.5,15.5,10,,,7.75,
CMCUF1-3,13-01-2011,5.5,9.25,5.5,7.5,47,,,7.5,
CMCUF1-3,14-01-2011,,,,,,,,12,
CMCUF1-3,17-01-2011,,,,,,,,12,
CMCUF1-3,18-01-2011,,,,,,,,12,
CMCUF1-3,19-01-2011,,,,,,,,12,
CMCUF18-3,18-10-2017,1,2.25,1,1.5,458,,,1.5,
CMCUF18-3,19-10-2017,2.5,2.5,1,2.5,515,,,2.5,
CMCUF18-3,20-10-2017,2,3.5,0,2,608,,,2,
CMCUF18-3,23-10-2017,1.5,2,.5,2,622,,,2,
CMCUF18-3,24-10-2017,3,3,.5,1.66,392,,,1.5,
CMCUF18-3,25-10-2017, -1,1.75, -1,1.5,203,,,1,
CMCUF18-3,26-10-2017,1,1.5,.85,1,549,,,1,
CMCUF18-3,27-10-2017,4,4, -.5, -.5,907,,,.25,
CMCUF18-3,30-10-2017, -3,.5, -3, -1,401,,, -.75,
CMCUF18-3,31-10-2017, -.5, -.5, -.75, -.6,115,,, -.75,
CMCUF18-3,01-11-2017, -1, -1, -3.15, -2.75,1425,,, -3,
CMCUF18-3,02-11-2017, -3.5, -2.75, -5, -2.75,176,,, -3.5,
CMCUF18-3,03-11-2017, -6, -3.5, -6, -4.25,338,,, -4,
CMCUF18-3,06-11-2017, -9, -5.25, -9, -7,640,,, -6.5,
CMCUF18-3,07-11-2017, -7, -6.5, -7, -6.9,688,,, -6.75,
CMCUF18-3,08-11-2017, -8.5, -5.5, -8.5, -7,37,,, -6.25,
CMCUF18-3,09-11-2017, -.5, -.5, -7.15, -6.75,371,,, -7,
CMCUF18-3,10-11-2017, -6, -6, -8, -7.35,657,,, -8,
CMCUF18-3,13-11-2017, -5, -5, -14.5, -10.75,874,,, -9.5,
CMCUF18-3,14-11-2017, -9, -9, -11.92, -11.7,1203,,, -11.5,
CMCUF18-3,15-11-2017, -11.5, -10.5, -11.55, -11,339,,, -11,
CMCUF18-3,16-11-2017, -10.5, -10, -11, -10,26,,, -11,
CMCUF18-3,17-11-2017, -10, -10, -11, -10.5,401,,, -11,
CMCUF18-3,20-11-2017, -10, -10, -11, -10,139,,, -10.75,
CMCUF18-3,21-11-2017, -9.5, -9.5, -11.15, -11.15,877,,, -11,
CMCUF18-3,22-11-2017, -11.36, -9.5, -11.5, -11,147,,, -10.5,
CMCUF18-3,23-11-2017, -10.5, -10.5, -10.5, -10.5,13,,, -7.75,
CMCUF18-3,24-11-2017,,,,,,,, -7,
CMCUF18-3,27-11-2017, -8.9, -8.9, -10.35, -10.35,79,,, -10.5,
CMCUF18-3,28-11-2017, -11.02, -11.02, -11.5, -11.5,52,,, -12,
CMCUF18-3,29-11-2017, -11, -11, -12.5, -11.65,118,,, -12.5,
CMCUF18-3,30-11-2017, -12, -11.5, -12.7, -12.65,639,,, -12.5,
CMCUF18-3,01-12-2017, -12.5, -12.5, -12.5, -12.5,18,,, -12.25,
CMCUF18-3,04-12-2017, -13.8, -13.8, -13.8, -13.8,100,,, -14,
CMCUF18-3,05-12-2017, -14, -13, -15, -15,627,,, -14.75,
CMCUF18-3,06-12-2017, -15, -14, -15.9, -15.9,215,,, -15.75,
CMCUF18-3,07-12-2017, -15.7, -15.7, -18.4, -16,166,,, -18.25,
CMCUF18-3,08-12-2017, -18, -17, -18, -17,265,,, -18.25,
CMCUF18-3,11-12-2017, -19, -19, -19.5, -19.5,62,,, -19.5,
CMCUF18-3,12-12-2017, -19.5, -19, -20.75, -20.15,206,,, -20,
CMCUF18-3,13-12-2017, -21, -20, -21, -20.5,24,,, -21.25,
CMCUF18-3,14-12-2017, -21, -20.3, -21, -20.3,135,,, -20.5,
CMCUF18-3,15-12-2017, -21, -20, -21, -20,113,,, -21,
CMCUF18-3,18-12-2017, -22.25, -21.5, -23, -21.75,57,,, -21.75,
CMCUF18-3,19-12-2017, -22, -22, -22.5, -22.5,53,,, -22.25,
CMCUF18-3,20-12-2017, -23.5, -23.5, -27.4, -27.05,311,,, -27.25,
CMCUF18-3,21-12-2017, -28, -27, -28.25, -27.65,784,,, -27.5,
CMCUF18-3,22-12-2017, -25, -24.3, -25, -24.3,96,,, -24.5,
CMCUF18-3,27-12-2017, -26.53, -22.1, -26.53, -22.1,382,,, -22.25,
CMCUF18-3,28-12-2017, -22.73, -22.73, -24.15, -23.25,126,,, -24.25,
CMCUF18-3,29-12-2017, -24.77, -24.77, -27, -27,207,,, -28,
CMCUF18-3,02-01-2018, -31, -29.85, -31.6, -31.6,400,,, -31.75,
CMCUF18-3,03-01-2018, -31.75, -31.75, -34.35, -34.35,71,,, -34.5,
CMCUF18-3,04-01-2018, -34.75, -34, -36.2, -34,81,,, -34.25,
CMCUF18-3,05-01-2018, -33.75, -32.8, -33.8, -33.8,44,,, -34,
CMCUF18-3,08-01-2018, -36.15, -35.75, -38.15, -38.15,135,,, -38,
CMCUF18-3,09-01-2018, -36, -36, -37.15, -37.15,407,,, -37,
CMCUF18-3,10-01-2018, -37.55, -37, -37.55, -37,105,,, -36.25,
CMCUF18-3,11-01-2018, -35.8, -35.25, -37, -36.8,188,,, -37,
CMCUF18-3,12-01-2018, -37.46, -35.05, -37.46, -35.05,13,,, -35.25,
CMCUF18-3,15-01-2018,,,,,,,, -35.25,
CMCUF18-3,16-01-2018,,,,,,,, -35.25,
CMCUF18-3,17-01-2018,,,,,,,, -35.25,
CMCUF19-3,17-10-2018,2.01,3.5,2.01,3.5,283,,,3,16-01-2019
CMCUF19-3,18-10-2018,3.05,4.25,3.05,4.25,476,,,4,16-01-2019
CMCUF19-3,19-10-2018,4,5,4,5,83,,,5,16-01-2019
CMCUF19-3,22-10-2018,4.5,4.5,3,4,458,,,4.5,16-01-2019
CMCUF19-3,23-10-2018,4,4.2,2.5,3.5,1061,,,3.5,16-01-2019
CMCUF19-3,24-10-2018,3.5,5,3.5,5,624,,,5,16-01-2019
CMCUF19-3,25-10-2018,5.05,6.5,4,5,457,,,5,16-01-2019
CMCUF19-3,26-10-2018,5,7,5,7,180,,,7,16-01-2019
CMCUF19-3,29-10-2018,7.25,7.25,5,6.65,141,,,6.5,16-01-2019
CMCUF19-3,30-10-2018,6,6.65,4.5,4.5,604,,,5,16-01-2019
CMCUF19-3,31-10-2018,4.5,5.5,3.85,3.85,382,,,4,16-01-2019
CMCUF19-3,01-11-2018,5,5,3,3,497,,,3,16-01-2019
CMCUF19-3,02-11-2018,3,3.89,2.75,3.35,413,,,3,16-01-2019
CMCUF19-3,05-11-2018,3.5,4,1.75,1.75,163,,,1.5,16-01-2019
CMCUF19-3,06-11-2018,2,3.75,2,3.15,1235,,,3,16-01-2019
CMCUF19-3,07-11-2018,2.5,3,1.5,2.5,1051,,,2,16-01-2019
CMCUF19-3,08-11-2018,2.66,3.15,2.5,3.15,763,,,3,16-01-2019
CMCUF19-3,09-11-2018,3.49,4,3,3.5,119,,,3,16-01-2019
CMCUF19-3,12-11-2018,3,4.5,2.5,2.5,378,,,3,16-01-2019
CMCUF19-3,13-11-2018,3.5,3.5,1.5,2.5,743,,,2,16-01-2019
