RIC,CRIC,Exp
CMCUF18,2018F,2018-01-15
CMCUF2,2012F,2012-01-16
CMCUF3,2013F,2013-01-14
CMCUF4,2014F,2014-01-15
CMCUF5,2015F,2015-01-19
CMCUF6,2016F,2016-01-18
CMCUF7,2017F,2017-01-16
CMCUG18,2018G,2018-02-19
CMCUG2,2012G,2012-02-13
CMCUG3,2013G,2013-02-18
CMCUG4,2014G,2014-02-19
CMCUG5,2015G,2015-02-16
CMCUG6,2016G,2016-02-15
CMCUG7,2017G,2017-02-13
CMCUH18,2018H,2018-03-19
CMCUH2,2012H,2012-03-19
CMCUH3,2013H,2013-03-18
CMCUH4,2014H,2014-03-17
CMCUH5,2015H,2015-03-16
CMCUH6,2016H,2016-03-14
CMCUH7,2017H,2017-03-13
CMCUJ18,2018J,2018-04-16
CMCUJ2,2012J,2012-04-16
CMCUJ3,2013J,2013-04-15
CMCUJ4,2014J,2014-04-14
CMCUJ5,2015J,2015-04-13
CMCUJ6,2016J,2016-04-18
CMCUJ7,2017J,2017-04-13
CMCUK18,2018K,2018-05-14
CMCUK2,2012K,2012-05-14
CMCUK3,2013K,2013-05-13
CMCUK4,2014K,2014-05-19
CMCUK5,2015K,2015-05-18
CMCUK6,2016K,2016-05-16
CMCUK7,2017K,2017-05-15
CMCUM18,2018M,2018-06-18
CMCUM2,2012M,2012-06-18
CMCUM3,2013M,2013-06-17
CMCUM4,2014M,2014-06-16
CMCUM5,2015M,2015-06-15
CMCUM6,2016M,2016-06-13
CMCUM7,2017M,2017-06-19
CMCUN18,2018N,2018-07-16
CMCUN2,2012N,2012-07-16
CMCUN3,2013N,2013-07-15
CMCUN4,2014N,2014-07-14
CMCUN5,2015N,2015-07-13
CMCUN6,2016N,2016-07-18
CMCUN7,2017N,2017-07-17
CMCUQ18,2018Q,2018-08-13
CMCUQ2,2012Q,2012-08-13
CMCUQ3,2013Q,2013-08-21
CMCUQ4,2014Q,2014-08-18
CMCUQ5,2015Q,2015-08-17
CMCUQ6,2016Q,2016-08-15
CMCUQ7,2017Q,2017-08-14
CMCUU18,2018U,2018-09-17
CMCUU2,2012U,2012-09-17
CMCUU3,2013U,2013-09-18
CMCUU4,2014U,2014-09-15
CMCUU5,2015U,2015-09-14
CMCUU6,2016U,2016-09-19
CMCUU7,2017U,2017-09-18
CMCUV1,2011V,2011-10-17
CMCUV18,2018V,2018-10-15
CMCUV2,2012V,2012-10-15
CMCUV3,2013V,2013-10-16
CMCUV4,2014V,2014-10-13
CMCUV5,2015V,2015-10-19
CMCUV6,2016V,2016-10-17
CMCUV7,2017V,2017-10-16
CMCUX1,2011X,2011-11-14
CMCUX2,2012X,2012-11-19
CMCUX3,2013X,2013-11-20
CMCUX4,2014X,2014-11-17
CMCUX5,2015X,2015-11-16
CMCUX6,2016X,2016-11-14
CMCUX7,2017X,2017-11-13
CMCUX18,2018X,2018-11-13
CMCUZ1,2011Z,2011-12-19
CMCUZ2,2012Z,2012-12-17
CMCUZ3,2013Z,2013-12-18
CMCUZ4,2014Z,2014-12-15
CMCUZ5,2015Z,2015-12-14
CMCUZ6,2016Z,2016-12-19
CMCUZ7,2017Z,2017-12-18
CMCUZ18,2018Z,2018-12-18
CMCUF19,2019F,2019-01-16
CMCUG19,2019G,2019-02-13
CMCUH19,2019H,2019-03-13
CMCUJ19,2019J,2019-04-13
CMCUK19,2019K,2019-05-15
CMCUM19,2019M,2019-06-19
CMCUN19,2019N,2019-07-17
CMCUQ19,2019Q,2019-08-14
CMCUU19,2019U,2019-09-18
CMCUV19,2019V,2019-10-16
CMCUX19,2019X,2019-11-13
CMCUZ19,2019Z,2019-12-18
