Date,On Warrant
26/10/2018,148943
19/10/2018,140789
12/10/2018,125700
28/09/2018,111995
21/09/2018,111029
14/09/2018,134566
07/09/2018,136051
31/08/2018,138001
24/08/2018,146590
17/08/2018,155076
10/08/2018,171107
03/08/2018,192817
27/07/2018,197068
20/07/2018,211319
13/07/2018,234696
06/07/2018,258678
29/06/2018,263968
22/06/2018,255394
15/06/2018,253017
08/06/2018,256030
01/06/2018,272254
25/05/2018,268385
18/05/2018,268504
11/05/2018,279525
04/05/2018,264685
27/04/2018,249732
20/04/2018,261743
13/04/2018,280836
06/04/2018,306645
30/03/2018,306211
23/03/2018,307435
16/03/2018,296994
09/03/2018,268095
02/03/2018,260287
23/02/2018,218532
16/02/2018,197759
09/02/2018,186132
02/02/2018,172595
26/01/2018,164206
19/01/2018,176233
12/01/2018,167429
05/01/2018,160441
29/12/2017,150489
22/12/2017,140211
15/12/2017,142129
08/12/2017,158145
01/12/2017,168987
24/11/2017,164813
17/11/2017,162800
10/11/2017,145471
03/11/2017,127273
27/10/2017,107892
20/10/2017,112667
13/10/2017,104242
29/09/2017,103151
22/09/2017,141318
15/09/2017,166747
08/09/2017,172847
01/09/2017,183582
25/08/2017,187444
18/08/2017,204090
11/08/2017,207777
04/08/2017,190715
28/07/2017,178783
21/07/2017,172774
14/07/2017,181632
07/07/2017,182804
30/06/2017,176620
23/06/2017,185281
16/06/2017,199014
09/06/2017,190262
02/06/2017,208239
26/05/2017,198585
19/05/2017,196358
12/05/2017,194993
05/05/2017,215231
28/04/2017,229361
21/04/2017,240191
14/04/2017,271267
07/04/2017,314810
31/03/2017,307376
24/03/2017,312584
17/03/2017,325278
10/03/2017,326732
03/03/2017,313873
24/02/2017,289899
17/02/2017,295730
10/02/2017,277659
03/02/2017,223853
27/01/2017,212925
26/01/2017,212925
20/01/2017,172979
13/01/2017,170797
06/01/2017,171561
30/12/2016,146598
23/12/2016,134377
16/12/2016,144026
09/12/2016,131950
02/12/2016,135363
25/11/2016,144063
18/11/2016,134538
11/11/2016,112551
04/11/2016,97839
28/10/2016,102548
21/10/2016,117634
14/10/2016,121439
30/09/2016,107058
23/09/2016,130780
14/09/2016,136329
09/09/2016,143716
02/09/2016,152404
26/08/2016,165803
19/08/2016,172619
12/08/2016,174563
05/08/2016,165239
29/07/2016,165468
22/07/2016,174971
15/07/2016,177199
08/07/2016,162130
01/07/2016,161894
24/06/2016,155235
17/06/2016,166105
08/06/2016,182338
03/06/2016,210995
27/05/2016,221212
20/05/2016,257334
13/05/2016,286210
06/05/2016,313168
29/04/2016,311894
22/04/2016,331689
15/04/2016,331942
08/04/2016,360925
01/04/2016,368725
25/03/2016,385899
18/03/2016,394777
11/03/2016,350138
04/03/2016,305106
26/02/2016,276023
19/02/2016,276904
05/02/2016,241282
29/01/2016,211965
22/01/2016,194312
15/01/2016,186231
08/01/2016,188571
01/01/2016,177854
25/12/2015,182835
18/12/2015,179612
11/12/2015,170407
04/12/2015,172522
27/11/2015,187152
20/11/2015,199288
13/11/2015,197372
06/11/2015,197767
30/10/2015,180157
23/10/2015,181736
16/10/2015,170349
09/10/2015,152934
02/10/2015,152551
25/09/2015,150371
18/09/2015,147847
11/09/2015,140844
02/09/2015,128887
28/08/2015,123223
21/08/2015,124020
14/08/2015,121258
07/08/2015,114000
31/07/2015,103117
24/07/2015,101251
17/07/2015,109001
10/07/2015,105276
03/07/2015,101517
26/06/2015,112921
19/06/2015,125191
12/06/2015,134816
05/06/2015,145383
29/05/2015,156053
22/05/2015,162636
15/05/2015,173157
08/05/2015,183304
01/05/2015,188165
24/04/2015,208285
17/04/2015,230835
10/04/2015,240775
03/04/2015,246656
27/03/2015,243592
20/03/2015,239349
13/03/2015,241616
06/03/2015,224340
27/02/2015,205146
17/02/2015,154671
13/02/2015,155702
06/02/2015,139396
30/01/2015,137042
23/01/2015,134137
16/01/2015,136816
09/01/2015,112666
02/01/2015,111915
26/12/2014,105522
19/12/2014,92829
12/12/2014,89980
05/12/2014,86223
28/11/2014,88278
21/11/2014,95383
14/11/2014,88140
07/11/2014,89570
31/10/2014,95824
24/10/2014,95101
17/10/2014,97235
10/10/2014,82770
03/10/2014,86257
26/09/2014,81554
19/09/2014,79853
12/09/2014,75004
05/09/2014,74336
29/08/2014,79778
22/08/2014,86556
15/08/2014,96853
08/08/2014,100946
01/08/2014,108393
25/07/2014,102145
18/07/2014,108851
11/07/2014,84453
04/07/2014,81351
27/06/2014,78975
20/06/2014,75529
13/06/2014,81929
06/06/2014,86500
30/05/2014,91947
23/05/2014,92652
16/05/2014,97012
09/05/2014,90580
30/04/2014,104065
25/04/2014,105156
18/04/2014,132477
11/04/2014,142671
04/04/2014,172370
28/03/2014,193725
21/03/2014,209901
14/03/2014,213297
07/03/2014,207320
28/02/2014,198286
21/02/2014,194111
14/02/2014,180341
07/02/2014,149774
30/01/2014,148581
24/01/2014,140913
17/01/2014,131563
10/01/2014,122189
03/01/2014,125654
27/12/2013,125849
20/12/2013,131128
13/12/2013,143153
06/12/2013,141533
29/11/2013,148670
22/11/2013,151801
15/11/2013,170592
08/11/2013,177903
01/11/2013,178343
25/10/2013,172146
18/10/2013,172109
11/10/2013,161585
27/09/2013,150994
13/09/2013,157164
06/09/2013,151700
30/08/2013,156568
23/08/2013,156110
16/08/2013,161891
09/08/2013,151148
02/08/2013,163571
26/07/2013,161564
19/07/2013,167429
12/07/2013,168376
05/07/2013,173021
28/06/2013,182493
21/06/2013,189209
14/06/2013,183410
07/06/2013,181472
31/05/2013,179317
24/05/2013,176624
17/05/2013,190330
10/05/2013,195043
03/05/2013,213782
26/04/2013,217180
19/04/2013,223663
12/04/2013,228290
29/03/2013,247591
22/03/2013,239273
15/03/2013,231872
08/03/2013,225416
01/03/2013,226201
22/02/2013,207709
08/02/2013,196699
01/02/2013,197091
25/01/2013,205120
18/01/2013,208568
11/01/2013,209096
04/01/2013,206458
28/12/2012,204773
21/12/2012,204997
14/12/2012,205385
07/12/2012,197979
30/11/2012,197088
23/11/2012,205933
16/11/2012,203544
09/11/2012,204995
02/11/2012,197937
26/10/2012,192761
19/10/2012,196710
12/10/2012,181514
28/09/2012,162547
21/09/2012,166829
14/09/2012,156401
07/09/2012,151073
31/08/2012,158065
24/08/2012,158938
17/08/2012,156151
10/08/2012,158052
03/08/2012,164111
27/07/2012,156510
20/07/2012,160973
13/07/2012,160928
06/07/2012,155237
29/06/2012,139442
15/06/2012,130143
08/06/2012,132421
01/06/2012,147044
25/05/2012,157489
