Date,OnWarrant
26/10/2018,54448
19/10/2018,55809
12/10/2018,45118
28/09/2018,36547
21/09/2018,40137
14/09/2018,38723
07/09/2018,37027
31/08/2018,43946
24/08/2018,57109
17/08/2018,71070
10/08/2018,77230
03/08/2018,88058
27/07/2018,93707
20/07/2018,109615
13/07/2018,134063
06/07/2018,139304
29/06/2018,142829
22/06/2018,145072
15/06/2018,146665
08/06/2018,133617
01/06/2018,137396
25/05/2018,146403
18/05/2018,155704
11/05/2018,148831
04/05/2018,142123
27/04/2018,145205
20/04/2018,140853
13/04/2018,146669
30/03/2018,136951
23/03/2018,136550
16/03/2018,142135
09/03/2018,101946
02/03/2018,80509
23/02/2018,77981
16/02/2018,77757
09/02/2018,70077
02/02/2018,52166
26/01/2018,49131
19/01/2018,50971
12/01/2018,46057
05/01/2018,43025
29/12/2017,42304
22/12/2017,32674
15/12/2017,34102
08/12/2017,33072
01/12/2017,35241
24/11/2017,30791
17/11/2017,32418
10/11/2017,23222
03/11/2017,24200
27/10/2017,27963
20/10/2017,36103
13/10/2017,21061
29/09/2017,21680
22/09/2017,46741
15/09/2017,65136
08/09/2017,64352
01/09/2017,66358
25/08/2017,67056
18/08/2017,70698
11/08/2017,64533
04/08/2017,61354
28/07/2017,56578
21/07/2017,57849
14/07/2017,57406
07/07/2017,57004
30/06/2017,56267
23/06/2017,55970
16/06/2017,58541
09/06/2017,55099
02/06/2017,59824
26/05/2017,66738
19/05/2017,69716
12/05/2017,71695
05/05/2017,78033
28/04/2017,92719
21/04/2017,103491
14/04/2017,128818
07/04/2017,152344
31/03/2017,157899
24/03/2017,168112
17/03/2017,177738
10/03/2017,166556
03/03/2017,155381
24/02/2017,137695
17/02/2017,135896
10/02/2017,99588
03/02/2017,77124
27/01/2017,77124
26/01/2017,77124
20/01/2017,64540
13/01/2017,56338
06/01/2017,49092
30/12/2016,46301
23/12/2016,44558
16/12/2016,43548
09/12/2016,39278
02/12/2016,37580
25/11/2016,35698
18/11/2016,29398
11/11/2016,21319
04/11/2016,22620
28/10/2016,19392
21/10/2016,25177
14/10/2016,26511
30/09/2016,24171
23/09/2016,29866
14/09/2016,30895
09/09/2016,35315
02/09/2016,44394
26/08/2016,51239
19/08/2016,62487
12/08/2016,69337
05/08/2016,66244
29/07/2016,71135
22/07/2016,71863
15/07/2016,74907
08/07/2016,67083
01/07/2016,66589
24/06/2016,62653
17/06/2016,71726
08/06/2016,74984
03/06/2016,86221
27/05/2016,101142
20/05/2016,122893
13/05/2016,138643
06/05/2016,154422
29/04/2016,149998
22/04/2016,150895
15/04/2016,160068
08/04/2016,177785
01/04/2016,178900
25/03/2016,177578
18/03/2016,176178
11/03/2016,172342
04/03/2016,145403
26/02/2016,131665
19/02/2016,116779
05/02/2016,104226
29/01/2016,86970
22/01/2016,78772
15/01/2016,74749
08/01/2016,38068
01/01/2016,36873
25/12/2015,39575
18/12/2015,40123
11/12/2015,27488
04/12/2015,31897
27/11/2015,46955
20/11/2015,53476
13/11/2015,54060
06/11/2015,54667
30/10/2015,43955
23/10/2015,38225
16/10/2015,42376
09/10/2015,36815
02/10/2015,36915
25/09/2015,39744
18/09/2015,42249
11/09/2015,36346
04/09/2015,34841
28/08/2015,34841
21/08/2015,32425
14/08/2015,26052
07/08/2015,11032
31/07/2015,9732
24/07/2015,11632
17/07/2015,24737
10/07/2015,10722
03/07/2015,11923
26/06/2015,13930
19/06/2015,26793
12/06/2015,24393
05/06/2015,30812
29/05/2015,37997
22/05/2015,44948
15/05/2015,42651
08/05/2015,42059
01/05/2015,43391
24/04/2015,53268
17/04/2015,75890
10/04/2015,81587
03/04/2015,86878
27/03/2015,86042
20/03/2015,83333
13/03/2015,79396
06/03/2015,66869
27/02/2015,55689
13/02/2015,53068
06/02/2015,40739
30/01/2015,37715
23/01/2015,42086
16/01/2015,50356
09/01/2015,32104
02/01/2015,29775
26/12/2014,26646
19/12/2014,26648
12/12/2014,15233
05/12/2014,16185
28/11/2014,20847
21/11/2014,26358
14/11/2014,16726
07/11/2014,14989
31/10/2014,20391
24/10/2014,23400
17/10/2014,27227
10/10/2014,13290
03/10/2014,14391
26/09/2014,15294
19/09/2014,20465
12/09/2014,11884
05/09/2014,11933
29/08/2014,16582
22/08/2014,22263
15/08/2014,20934
08/08/2014,22619
01/08/2014,29483
25/07/2014,29785
18/07/2014,36050
11/07/2014,7435
04/07/2014,4186
27/06/2014,3255
20/06/2014,6049
13/06/2014,2900
06/06/2014,3400
30/05/2014,5325
23/05/2014,5350
16/05/2014,5862
09/05/2014,5862
25/04/2014,6212
18/04/2014,17412
11/04/2014,17363
04/04/2014,29499
28/03/2014,40835
21/03/2014,46683
14/03/2014,52124
07/03/2014,50290
28/02/2014,46974
21/02/2014,45727
14/02/2014,39752
07/02/2014,32286
24/01/2014,32286
17/01/2014,33362
10/01/2014,22288
03/01/2014,23109
27/12/2013,23109
20/12/2013,31613
13/12/2013,32488
06/12/2013,35662
29/11/2013,38383
22/11/2013,42065
15/11/2013,43094
08/11/2013,46707
01/11/2013,46586
25/10/2013,46035
