RIC,Date,Close,Exp,CRIC
SCFF0,2009-01-16,26770.0,2010-01-15 00:00:00,2010F
SCFF0,2009-01-19,27960.0,2010-01-15 00:00:00,2010F
SCFF0,2009-01-20,27650.0,2010-01-15 00:00:00,2010F
SCFF0,2009-01-21,27270.0,2010-01-15 00:00:00,2010F
SCFF0,2009-01-22,26340.0,2010-01-15 00:00:00,2010F
SCFF0,2009-01-23,25730.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-02,25420.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-03,26260.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-04,27300.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-05,27640.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-06,28410.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-09,29700.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-10,29780.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-11,28690.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-12,28280.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-13,28730.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-16,27820.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-17,27560.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-18,26450.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-19,26810.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-20,26890.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-23,26680.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-24,26500.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-25,27370.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-26,27880.0,2010-01-15 00:00:00,2010F
SCFF0,2009-02-27,27630.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-02,27160.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-03,27440.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-04,28400.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-05,29490.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-06,29110.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-09,28860.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-10,28710.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-11,28840.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-12,28440.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-13,28690.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-16,29040.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-17,30120.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-18,30290.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-19,30630.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-20,31710.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-23,32790.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-24,32900.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-25,32350.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-26,32850.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-27,33350.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-30,32760.0,2010-01-15 00:00:00,2010F
SCFF0,2009-03-31,32390.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-01,33140.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-02,33320.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-03,33780.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-07,35140.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-08,35220.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-09,35780.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-10,37300.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-13,39150.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-14,38100.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-15,38330.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-16,39570.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-17,38880.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-20,38530.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-21,36630.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-22,36870.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-23,35650.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-24,34890.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-27,34650.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-28,34000.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-29,33730.0,2010-01-15 00:00:00,2010F
SCFF0,2009-04-30,35350.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-04,37700.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-05,37390.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-06,37340.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-07,38450.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-08,38160.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-11,37370.0,2010-01-15 00:00:00,2010F
SCFF0,2009-05-12,36780.0,2010-01-15 00:00:00,2010F
