RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFF0,16-01-2009,,,,,,,26770,26770,
SCFF0,19-01-2009,28020,28020,27900,27900,4,4,27960,27960,
SCFF0,20-01-2009,27650,27650,27650,27650,2,4,27650,27650,
SCFF0,21-01-2009,27300,27350,27220,27220,8,10,27270,27270,
SCFF0,22-01-2009,26850,26850,26060,26450,24,22,26340,26340,
SCFF0,23-01-2009,25410,25990,25410,25990,12,28,25730,25730,
SCFF0,02-02-2009,25440,25520,25350,25450,28,44,25420,25420,
SCFF0,03-02-2009,25700,26690,25690,26690,80,80,26260,26260,
SCFF0,04-02-2009,27200,27520,26950,27300,70,76,27300,27300,
SCFF0,05-02-2009,27110,27990,27110,27680,30,88,27640,27640,
SCFF0,06-02-2009,27990,28850,27980,28850,36,94,28410,28410,
SCFF0,09-02-2009,29800,29810,29560,29800,34,100,29700,29700,
SCFF0,10-02-2009,30540,30540,29020,30090,152,156,29780,29780,
SCFF0,11-02-2009,28680,29300,28290,28290,188,222,28690,28690,
SCFF0,12-02-2009,28580,28790,27930,28510,176,248,28280,28280,
SCFF0,13-02-2009,28900,28900,28610,28620,78,238,28730,28730,
SCFF0,16-02-2009,27990,28200,27300,27570,330,336,27820,27820,
SCFF0,17-02-2009,27190,27930,27020,27500,404,524,27560,27560,
SCFF0,18-02-2009,26500,26790,26180,26440,196,552,26450,26450,
SCFF0,19-02-2009,27200,27200,26570,26640,72,564,26810,26810,
SCFF0,20-02-2009,26980,27290,26690,26690,104,570,26890,26890,
SCFF0,23-02-2009,26200,27190,26200,27120,124,564,26680,26680,
SCFF0,24-02-2009,26670,26800,26260,26430,114,624,26500,26500,
SCFF0,25-02-2009,27500,27580,27250,27270,62,612,27370,27370,
SCFF0,26-02-2009,27400,28670,27400,27600,238,628,27880,27880,
SCFF0,27-02-2009,27600,28000,26790,26790,86,630,27630,27630,
SCFF0,02-03-2009,27320,27350,27050,27300,134,690,27160,27160,
SCFF0,03-03-2009,27300,27740,27280,27570,194,696,27440,27440,
SCFF0,04-03-2009,28280,28810,28190,28810,190,748,28400,28400,
SCFF0,05-03-2009,29820,29820,29080,29080,98,740,29490,29490,
SCFF0,06-03-2009,29160,29300,29000,29280,56,764,29110,29110,
SCFF0,09-03-2009,28970,29150,28500,28500,96,786,28860,28860,
SCFF0,10-03-2009,28650,28970,28530,28870,88,842,28710,28710,
SCFF0,11-03-2009,29130,29130,28640,28700,162,956,28840,28840,
SCFF0,12-03-2009,28450,28550,28290,28420,104,942,28440,28440,
SCFF0,13-03-2009,28800,28850,28550,28600,66,930,28690,28690,
SCFF0,16-03-2009,28700,29240,28700,29240,76,936,29040,29040,
SCFF0,17-03-2009,30100,30450,29920,30150,120,922,30120,30120,
SCFF0,18-03-2009,30340,30530,30020,30260,146,906,30290,30290,
SCFF0,19-03-2009,30600,30790,30500,30650,162,912,30630,30630,
SCFF0,20-03-2009,31380,32160,31380,32160,258,988,31710,31710,
SCFF0,23-03-2009,32060,33290,32060,33290,604,974,32790,32790,
SCFF0,24-03-2009,33450,33860,32090,32680,214,980,32900,32900,
SCFF0,25-03-2009,32740,32790,32150,32250,96,1008,32350,32350,
SCFF0,26-03-2009,32630,33310,32590,33300,80,1008,32850,32850,
SCFF0,27-03-2009,33740,33850,32600,32900,398,1176,33350,33350,
SCFF0,30-03-2009,32870,33210,32410,32480,190,1186,32760,32760,
SCFF0,31-03-2009,32000,32950,32000,32950,246,1238,32390,32390,
SCFF0,01-04-2009,32810,33300,32550,32550,284,1268,33140,33140,
SCFF0,02-04-2009,33410,33550,33120,33500,256,1284,33320,33320,
SCFF0,03-04-2009,34450,34460,33480,33620,120,1310,33780,33780,
SCFF0,07-04-2009,34380,35460,34350,35460,424,1492,35140,35140,
SCFF0,08-04-2009,34790,35790,34740,34900,706,1650,35220,35220,
SCFF0,09-04-2009,35500,36170,35360,36170,378,1592,35780,35780,
SCFF0,10-04-2009,37380,37560,36940,37560,262,1570,37300,37300,
SCFF0,13-04-2009,38980,39900,37810,39250,570,1636,39150,39150,
SCFF0,14-04-2009,38780,39060,37190,37880,702,1638,38100,38100,
SCFF0,15-04-2009,38150,39250,37840,38800,230,1656,38330,38330,
SCFF0,16-04-2009,40020,40020,39160,39320,394,1746,39570,39570,
SCFF0,17-04-2009,39050,39150,38380,38380,228,1738,38880,38880,
SCFF0,20-04-2009,38420,38850,38180,38200,384,1714,38530,38530,
SCFF0,21-04-2009,36710,36710,36600,36600,58,1730,36630,36630,
SCFF0,22-04-2009,36050,37330,35500,35750,706,1928,36870,36870,
SCFF0,23-04-2009,35800,36150,35050,36150,342,1956,35650,35650,
SCFF0,24-04-2009,35120,35270,34580,34650,376,1974,34890,34890,
SCFF0,27-04-2009,35490,35490,33880,34060,440,1940,34650,34650,
SCFF0,28-04-2009,34500,34560,33460,33830,186,1888,34000,34000,
SCFF0,29-04-2009,33880,34630,33290,34600,754,1932,33730,33730,
SCFF0,30-04-2009,35280,35750,35090,35750,200,1964,35350,35350,
SCFF0,04-05-2009,37560,37820,37300,37820,722,2244,37700,37700,
SCFF0,05-05-2009,38100,38390,37040,37420,680,2064,37390,37390,
SCFF0,06-05-2009,36680,37850,36680,37730,234,2016,37340,37340,
SCFF0,07-05-2009,38680,39140,37940,38070,400,1976,38450,38450,
SCFF0,08-05-2009,38300,38820,37080,38820,468,1904,38160,38160,
SCFF0,11-05-2009,37590,37890,36810,36810,364,1916,37370,37370,
SCFF0,12-05-2009,36900,37100,36500,36840,206,1940,36780,36780,
SCFF0,13-05-2009,36860,37310,36830,37200,158,1944,37090,37090,
SCFF0,14-05-2009,35950,35950,35310,35560,446,1876,35640,35640,
SCFF0,15-05-2009,36100,36240,35400,35950,234,1772,35980,35980,
SCFF0,18-05-2009,35110,35520,34740,35460,352,1864,35230,35230,
SCFF0,19-05-2009,36060,36990,35950,36990,268,1882,36410,36410,
SCFF0,20-05-2009,36500,37080,36030,36600,242,1830,36700,36700,
SCFF0,21-05-2009,36660,36860,36050,36050,82,1864,36390,36390,
SCFF0,22-05-2009,36050,36270,35660,36270,168,1846,35940,35940,
SCFF0,25-05-2009,36640,36850,36460,36700,88,1852,36700,36700,
SCFF0,26-05-2009,36900,37100,36350,36350,224,1884,36720,36720,
SCFF0,27-05-2009,37160,37160,36800,36950,170,1834,37000,37000,
SCFF0,01-06-2009,38480,39220,38190,39150,302,1898,38920,38920,
SCFF0,02-06-2009,39860,40740,39550,39680,536,1828,40080,40080,
SCFF0,03-06-2009,39850,40700,39650,40700,166,1822,40140,40140,
SCFF0,04-06-2009,39470,39790,39300,39650,248,1884,39540,39540,
SCFF0,05-06-2009,40970,41360,40970,41260,270,1826,41150,41150,
SCFF0,08-06-2009,41070,41210,40210,40490,298,1858,40690,40690,
SCFF0,09-06-2009,41290,41290,40280,40900,256,1876,40760,40760,
SCFF0,10-06-2009,42550,42550,41580,41680,480,1890,41880,41880,
SCFF0,11-06-2009,41790,41910,41520,41790,358,1856,41720,41720,
SCFF0,12-06-2009,42340,42340,41450,41500,372,1842,41950,41950,
SCFF0,15-06-2009,40810,40830,39850,39850,900,2060,40330,40330,
SCFF0,16-06-2009,39110,39650,38900,39510,788,2318,39370,39370,
