RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFc6,02-08-1999,16400,16440,16310,16340,2952,7102,16360,16360,
SCFc6,03-08-1999,16350,16350,16240,16270,1380,7322,16273,16273,
SCFc6,04-08-1999,16350,16360,16320,16330,1306,7846,16330,16330,
SCFc6,05-08-1999,16400,16610,16400,16600,6088,10530,16530,16530,
SCFc6,06-08-1999,16800,16890,16800,16880,6726,12754,16850,16850,
SCFc6,09-08-1999,16900,16940,16800,16930,3926,13584,16870,16870,
SCFc6,10-08-1999,16840,17020,16840,16910,6046,14634,16940,16940,
SCFc6,11-08-1999,16780,16820,16730,16740,7812,14946,16770,16770,
SCFc6,12-08-1999,16860,17060,16860,17050,11332,18516,17010,17010,
SCFc6,13-08-1999,16900,16900,16740,16800,11340,18144,16796,16796,
SCFc6,16-08-1999,17060,17060,16920,16920,998,3624,17020,17020,
SCFc6,17-08-1999,16950,16970,16880,16880,670,3726,16920,16920,
SCFc6,18-08-1999,16780,16820,16760,16800,808,3982,16790,16790,
SCFc6,19-08-1999,16600,16650,16510,16640,836,4142,16600,16600,
SCFc6,20-08-1999,16660,16670,16610,16620,1080,4472,16640,16640,
SCFc6,23-08-1999,16550,16850,16550,16850,724,4672,16652,16652,
SCFc6,24-08-1999,16650,16800,16650,16720,1146,4850,16756,16756,
SCFc6,25-08-1999,16950,17080,16950,17050,3492,6696,17000,17000,
SCFc6,26-08-1999,16990,17070,16980,17040,3522,8550,17035,17035,
SCFc6,27-08-1999,17000,17010,16960,17000,2140,9664,16980,16980,
SCFc6,30-08-1999,17140,17220,17080,17090,6380,12428,17161,17161,
SCFc6,31-08-1999,17140,17210,17130,17200,3518,13844,17165,17165,
SCFc6,01-09-1999,17560,17670,17560,17660,9636,16840,17610,17610,
SCFc6,02-09-1999,17850,17900,17660,17670,11540,19764,17760,17760,
SCFc6,03-09-1999,17770,17800,17680,17720,8482,21086,17726,17726,
SCFc6,06-09-1999,17720,17900,17720,17830,5228,21400,17820,17820,
SCFc6,07-09-1999,17890,18170,17890,18150,10904,23278,18030,18030,
SCFc6,08-09-1999,18250,18410,18180,18220,18470,25068,18317,18317,
SCFc6,09-09-1999,18300,18340,18140,18210,8786,26066,18252,18252,
SCFc6,10-09-1999,18350,18380,18090,18090,16002,28096,18200,18200,
SCFc6,13-09-1999,18150,18360,18150,18350,13776,30340,18297,18297,
SCFc6,14-09-1999,18150,18150,17930,17980,16970,29792,18020,18020,
SCFc6,15-09-1999,17830,17890,17780,17830,14024,31912,17844,17844,
SCFc6,16-09-1999,18290,18500,18290,18400,1098,4996,18430,18430,
SCFc6,17-09-1999,18190,18320,18150,18270,2024,6028,18257,18257,
SCFc6,20-09-1999,18680,18780,18640,18650,3984,7438,18670,18670,
SCFc6,21-09-1999,18430,18720,18430,18720,3304,9308,18618,18618,
SCFc6,22-09-1999,18680,18760,18600,18630,2188,9786,18685,18685,
SCFc6,23-09-1999,18440,18500,18420,18460,2758,11258,18452,18452,
SCFc6,24-09-1999,18260,18400,18260,18360,3570,11426,18310,18310,
SCFc6,27-09-1999,18200,18250,18150,18190,4766,11758,18180,18180,
SCFc6,28-09-1999,18060,18310,18020,18290,5782,14400,18220,18220,
SCFc6,29-09-1999,18500,18550,18460,18510,6222,15960,18510,18510,
SCFc6,30-09-1999,18330,18540,18330,18470,3024,16716,18473,18473,
SCFc6,08-10-1999,18350,18430,18330,18380,1396,17226,18390,18390,
SCFc6,11-10-1999,17840,17840,17840,17840,250,17046,17840,17840,
SCFc6,12-10-1999,17550,17810,17510,17760,11212,20500,17711,17711,
SCFc6,13-10-1999,18000,18000,17800,17810,8228,22138,17880,17880,
SCFc6,14-10-1999,17980,17990,17890,17910,8028,23078,17937,17937,
SCFc6,15-10-1999,17850,17970,17830,17890,5474,23936,17910,17910,
SCFc6,18-10-1999,18180,18180,18130,18130,592,3190,18156,18156,
SCFc6,19-10-1999,18330,18450,18330,18440,1544,3742,18392,18392,
